,location,name,span,verb
0,4,Dursley,"Mr. Dursley was the director of a firm called Grunnings, which made drills.",was
1,6,Dursley,"Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors.",was
2,7,Dursleys,The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.,had
3,8,Dursleys,"The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it.",had
4,11,Dursleys,The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street.,shuddered
5,13,Dudley,Dudley mixing with a child like that,mixing
6,18,Dursley,"""Little tyke,"" chortled Mr. Dursley as he left the house.",chortled
7,21,Dursley,"For a second, Mr. Dursley didn't realize what he had seen",realize
8,25,Dursley,Mr. Dursley blinked and stared at the cat.,blinked
9,27,Dursley,As Mr. Dursley drove around the corner and up the road,drove
10,29,Dursley,Mr. Dursley gave himself a little shake and put the cat out of his mind.,gave
11,34,Dursley,Mr. Dursley couldn't bear people who dressed in funny clothes -- the getups you saw on young people!,bear
12,41,Dursley,"The traffic moved on and a few minutes later, Mr. Dursley arrived in the Grunnings parking lot, his mind back on drills.",arrived
13,42,Dursley,Mr. Dursley always sat with his back to the window in his office on the ninth floor.,sat
14,46,Dursley,"Mr. Dursley, however, had a perfectly normal, owl-free morning.",had
15,56,Dursley,Mr. Dursley stopped dead.,stopped
16,71,Dursley,before Mr. Dursley realized that the man was wearing a violet cloak,realized
17,77,Dursley,Mr. Dursley stood rooted to the spot.,stood
18,86,Dursley,said Mr. Dursley loudly.,said
19,90,Dursley,Mr. Dursley wondered.,wondered
20,93,Dursley,"Mrs. Dursley had had a nice, normal day.",had
21,94,Dudley,"how Dudley had learned a new word (""Won't",learned
22,95,Dursley,Mr. Dursley tried to act normally.,tried
23,108,Dursley,Mr. Dursley sat frozen in his armchair.,sat
24,113,Dursley,Mrs. Dursley came into the living room carrying two cups of tea.,came
25,118,Dursley,"As he had expected, Mrs. Dursley looked shocked and angry.",looked
26,122,Dursley,"""Funny stuff on the news,"" Mr. Dursley mumbled.",mumbled
27,127,Dursley,Mrs. Dursley sipped her tea through pursed lips.,sipped
28,128,Dursley,"Mr. Dursley wondered whether he dared tell her he'd heard the name ""Potter.""",wondered
29,131,Dursley,"""I suppose so,"" said Mrs. Dursley stiffly.",said
30,136,Dursley,"""Oh, yes,"" said Mr. Dursley, his heart sinking horribly.",said
31,145,Dursleys,The Dursleys got into bed.,got
32,148,Potters,The Potters knew very well what he and Petunia thought about them and their kind....,knew
33,151,Dursley,"Mr. Dursley might have been drifting into an uneasy sleep, but the cat on the wall outside was showing no sign of sleepiness.",drifting
34,162,Dumbledore,Albus Dumbledore didn't seem to realize that he had just arrived in a street where everything from his name to his boots was unwelcome.,seem
35,185,McGonagall,"""You'd be stiff if you'd been sitting on a brick wall all day,"" said Professor McGonagall.",said
36,189,McGonagall,Professor McGonagall sniffed angrily.,sniffed
37,199,Dumbledore,"""You can't blame them,"" said Dumbledore gently.",said
38,201,McGonagall,"""I know that,"" said Professor McGonagall irritably.",said
39,207,Dumbledore,"""It certainly seems so,"" said Dumbledore.",said
40,213,McGonagall,"""No, thank you,"" said Professor McGonagall coldly, as though she didn't think this was the moment for lemon drops.",said
41,220,McGonagall,"""I know you haven 't, said Professor McGonagall, sounding half exasperated, half admiring.",said
42,222,Voldemort,"oh, all right, Voldemort, was frightened of.""",was
43,223,Dumbledore,"""You flatter me,"" said Dumbledore calmly.",said
44,227,Pomfrey,since Madam Pomfrey told me she liked my new earmuffs,told
45,228,McGonagall,"Professor McGonagall shot a sharp look at Dumbledore and said, ""The owls are nothing next to the rumors that are flying around.",shot
46,232,McGonagall,that Professor McGonagall had reached the point she was most anxious to discuss,reached
47,233,Dumbledore,until Dumbledore told her it was true,told
48,235,Voldemort,that last night Voldemort turned up in Godric's Hollow,turned
49,237,Lily,that Lily and James Potter are -- are -- that they're -- dead,are
50,239,McGonagall,Professor McGonagall gasped.,gasped
51,252,Dumbledore,Dumbledore nodded glumly.,nodded
52,254,McGonagall,faltered Professor McGonagall.,faltered
53,256,Harry,"how in the name of heaven did Harry survive?""",survive
54,257,Dumbledore,"""We can only guess,"" said Dumbledore.",said
55,259,McGonagall,Professor McGonagall pulled out a lace handkerchief and dabbed at her eyes beneath her spectacles.,pulled
56,260,Dumbledore,Dumbledore gave a great sniff as he took a golden watch from his pocket and examined it.,gave
57,265,McGonagall,"""Yes,"" said Professor McGonagall.",said
58,270,McGonagall,"cried Professor McGonagall, jumping to her feet and pointing at number four.",cried
59,275,Potter,"Harry Potter come and live here!""",come
60,276,Dumbledore,"""It's the best place for him,"" said Dumbledore firmly.",said
61,284,Dumbledore,"""Exactly,"" said Dumbledore, looking very seriously over the top of his half-moon glasses.",said
62,289,McGonagall,"Professor McGonagall opened her mouth, changed her mind, swallowed, and then said, ""Yes -- yes, you're right, of course.",opened
63,292,Hagrid,"""Hagrid's bringing him.""",bringing
64,294,Dumbledore,"I would trust Hagrid with my life,"" said Dumbledore.",said
65,295,McGonagall,"""I'm not saying his heart isn't in the right place,"" said Professor McGonagall grudgingly, ""but you can't pretend he's not careless.",said
66,303,Dumbledore,"""Hagrid,"" said Dumbledore, sounding relieved.",said
67,306,Dumbledore,"Borrowed it, Professor Dumbledore, sit",sit
68,312,Dumbledore,Dumbledore and Professor McGonagall bent forward over the bundle of blankets.,bent
69,316,McGonagall,whispered Professor McGonagall.,whispered
70,317,Dumbledore,"""Yes,"" said Dumbledore.",said
71,324,Dumbledore,Dumbledore took Harry in his arms and turned toward the Dursleys' house.,took
72,328,Hagrid,"Then, suddenly, Hagrid let out a howl like a wounded dog.",let
73,330,McGonagall,hissed Professor McGonagall,hissed
74,335,McGonagall,"For a full minute the three of them stood and looked at the little bundle; Hagrid's shoulders shook, Professor McGonagall blinked furiously, and the twinkling light that usually shone from Dumbledore's eyes seemed to have gone out.",blinked
75,336,Dumbledore,"Dumbledore finally, ""that's that",'s
76,339,Hagrid,"""Yeah,"" said Hagrid in a very muffled voice, ""I'll be takin' Sirius his bike back.",said
77,341,Hagrid,"Wiping his streaming eyes on his jacket sleeve, Hagrid swung himself onto the motorcycle and kicked the engine into life; with a roar it rose into the air and off into the night.",swung
78,342,Dumbledore,"""I shall see you soon, I expect, Professor McGonagall,"" said Dumbledore, nodding to her.",said
79,343,McGonagall,Professor McGonagall blew her nose in reply.,blew
80,344,Dumbledore,Dumbledore turned and walked back down the street.,turned
81,351,Potter,Harry Potter rolled over inside his blankets without waking up.,rolled
82,356,Dursleys,since the Dursleys had woken up to find their nephew on the front step,woken
83,357,Dursley,when Mr. Dursley had seen that fateful news report about the owls,seen
84,359,Dursley,"Dudley Dursley was no longer a baby, and now the photographs showed a large blond boy riding his first bicycle, on a carousel at the fair, playing a computer game with his father, being hugged and kissed by his mother.",was
85,361,Potter,"Yet Harry Potter was still there, asleep at the moment, but not for long.",was
86,366,Harry,Harry woke with a start.,woke
87,370,Harry,Harry heard her walking toward the kitchen and then the sound of the frying pan being put on the stove.,heard
88,378,Harry,"""Nearly,"" said Harry.",said
89,381,Harry,Harry groaned.,groaned
90,386,Harry,Harry got slowly out of bed and started looking for socks.,got
91,391,Dudley,"as though Dudley had gotten the new computer he wanted, not to mention the second television and the racing bike",gotten
92,394,Harry,"Harry didn't look it, but he was very fast.",look
93,395,Harry,Harry had always been small and skinny for his age.,been
94,396,Dudley,Dudley was about four times bigger than he was.,was
95,397,Harry,"Harry had a thin face, knobbly knees, black hair, and bright green eyes.",had
96,398,Dudley,Dudley had punched him on the nose,punched
97,399,Harry,Harry liked about his own appearance,liked
98,408,Harry,Harry must have had more haircuts than the rest of the boys in his class put,had
99,414,Harry,"Harry put the plates of egg and bacon on the table, which was difficult as there wasn't much room.",put
100,420,Dudley,"""All right, thirty-seven then,"" said Dudley, going red in the face.",said
101,426,Dudley,Dudley thought for a moment.,thought
102,429,Petunia,"""Thirty-nine, sweetums,"" said Aunt Petunia.",said
103,431,Dudley,Dudley sat down heavily and grabbed the nearest parcel.,sat
104,433,Vernon,Uncle Vernon chuckled.,chuckled
105,438,Petunia,when Aunt Petunia came back from the telephone looking both angry and worried,came
106,446,Harry,Harry hated it there.,hated
107,449,Petunia,"said Aunt Petunia, looking furiously at Harry as though he'd planned this.",said
108,451,Vernon,"""We could phone Marge,"" Uncle Vernon suggested.",suggested
109,453,Dursleys,"The Dursleys often spoke about Harry like this, as though he wasn't there -- or rather, as though he was something very nasty that couldn't understand them, like a slug.",spoke
110,455,Petunia,"""On vacation in Majorca,"" snapped Aunt Petunia.",snapped
111,456,Harry,"You could just leave me here,"" Harry put in hopefully",put
112,460,Harry,"""I won't blow up the house,"" said Harry, but they weren't listening.",said
113,461,Petunia,"""I suppose we could take him to the zoo,"" said Aunt Petunia slowly, ""... and leave him in the car....""",said
114,463,Dudley,Dudley began to cry loudly.,began
115,468,Dudley,"Dudley yelled between huge, pretend sobs.",yelled
116,472,Petunia,"said Aunt Petunia frantically -- and a moment later, Dudley's best friend, Piers Polkiss, walked in with his mother.",said
117,474,Dudley,while Dudley hit them,hit
118,475,Dudley,Dudley stopped pretending to cry at once.,stopped
119,476,Harry,"Half an hour later, Harry, who couldn't believe his luck, was sitting in the back of the Dursleys' car with Piers and Dudley, on the way to the zoo for the first time in his life.",sitting
120,477,Vernon,"before they'd left, Uncle Vernon had taken Harry aside.",taken
121,479,Harry,"""I'm not going to do anything,"" said Harry, ""honestly..",said
122,483,Petunia,"Once, Aunt Petunia, tired of Harry coming back from the barbers looking as though he hadn't been at all",coming
123,485,Petunia,before Aunt Petunia had sheared it off,sheared
124,492,Harry,Harry supposed that the wind must have caught him in mid- jump.,supposed
125,495,Vernon,"While he drove, Uncle Vernon complained to Aunt Petunia.",complained
126,499,Harry,"I had a dream about a motorcycle,"" said Harry, remembering suddenly.",said
127,504,Harry,"I know they don't,"" said Harry.",said
128,507,Dursleys,the Dursleys hated even more than his asking questions,hated
129,509,Dursleys,"The Dursleys bought Dudley and Piers large chocolate ice creams at the entrance and then, because the smiling lady in the van had asked Harry what he wanted before they could hurry him away",bought
130,510,Harry,"It wasn't bad, either, Harry thought, licking it as they watched a gorilla scratching its head who looked remarkably like Dudley, except that it wasn't blond.",thought
131,511,Harry,Harry had the best morning he'd had in a long time.,had
132,512,Dudley,"so that Dudley and Piers, who were starting to get bored with the animals by lunchtime, wouldn't fall back on their favorite hobby of hitting him",fall
133,514,Harry,"Harry felt, afterward, that he should have known it was all too good to last.",felt
134,519,Dudley,Dudley quickly found the largest snake in the place.,found
135,522,Dudley,"Dudley stood with his nose pressed against the glass, staring at the glistening brown coils.",stood
136,524,Vernon,"Uncle Vernon tapped on the glass, but the snake didn't budge.",tapped
137,525,Dudley,"""Do it again,"" Dudley ordered.",ordered
138,526,Vernon,"Uncle Vernon rapped the glass smartly with his knuckles, but the snake just snoozed on.",rapped
139,527,Dudley,"""This is boring,"" Dudley moaned.",moaned
140,529,Harry,Harry moved in front of the tank and looked intently at the snake.,moved
141,531,Petunia,Aunt Petunia hammering on the door to wake you up,hammering
142,535,Harry,Harry stared.,stared
143,542,Harry,"""I know,"" Harry murmured through the glass, though he wasn't sure the snake could hear him.",murmured
144,546,Harry,Harry asked.,asked
145,548,Harry,Harry peered at it.,peered
146,551,Harry,Harry read on,read
147,558,Dudley,Dudley came,came
148,560,Harry,"Caught by surprise, Harry fell hard on the concrete floor.",fell
149,561,Piers,"Piers and Dudley were leaning right up close to the glass, the next",leaning
150,562,Harry,Harry sat up and gasped,sat
151,565,Harry,"As the snake slid swiftly past him, Harry could have sworn a low, hissing voice said, ""Brazil, here I come....",sworn
152,574,Petunia,Aunt Petunia had to run and get him a large brandy.,had
153,575,Harry,"Harry lay in his dark cupboard much later, wishing he had a watch.",lay
154,576,Dursleys,the Dursleys were asleep yet,were
155,589,Petunia,"After asking Harry furiously if he knew the man, Aunt Petunia had rushed them out of the shop without buying anything.",rushed
156,592,Harry,the second Harry tried to get a closer look,tried
157,593,Harry,"At school, Harry had no one.",had
158,598,Dudley,"Dudley had already broken his new video camera, crashed his remote control airplane, and, first time out on his racing bike, knocked down old Mrs. Figg as she crossed Privet Drive on her crutches.",broken
159,599,Harry,"Harry was glad school was over, but there was no escaping Dudley's gang, who visited the house every single day.",was
160,600,Dudley,as Dudley was the biggest and stupidest of the lot,was
161,602,Harry,"why Harry spent as much time as possible out of the house, wandering around and thinking about the end of the holidays, where he could see a tiny ray of hope",spent
162,605,Polkiss,Piers Polkiss was going there too.,going
163,607,Dudley,Dudley thought this was very funny.,thought
164,610,Harry,"""No, thanks,"" said Harry.",said
165,612,Dudley,before Dudley could work out what he'd said,work
166,613,Petunia,"One day in July, Aunt Petunia took Dudley to London to buy his Smeltings uniform, leaving Harry at Mrs. Figg's.",took
167,616,Harry,Harry watch television,watch
168,617,Dudley,"That evening, Dudley paraded around the living room for the family in his brand-new uniform.",paraded
169,621,Vernon,"As he looked at Dudley in his new knickerbockers, Uncle Vernon said gruffly that it was the proudest moment of his life.",said
170,623,Harry,Harry didn't trust himself to speak.,trust
171,625,Harry,when Harry went in for breakfast,went
172,633,Harry,Harry looked in the bowl again.,looked
173,638,Harry,"Harry seriously doubted this, but thought it best not to argue.",doubted
174,640,Dudley,"Dudley and Uncle Vernon came in, both with wrinkled noses because of the smell from Harry's new uniform.",came
175,643,Vernon,"""Get the mail, Dudley,"" said Uncle Vernon from behind his paper.",said
176,644,Harry,Harry get it,get
177,646,Dudley,Dudley get it,get
178,648,Harry,Harry dodged the Smelting stick and went to get the mail.,dodged
179,650,Harry,"Harry picked it up and stared at it, his heart twanging like a giant elastic band.",picked
180,662,Harry,"Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger, and a snake surrounding a large letter H.",saw
181,664,Vernon,shouted Uncle Vernon from the kitchen.,shouted
182,667,Harry,"Harry went back to the kitchen, still staring at his letter.",went
183,669,Vernon,"Uncle Vernon ripped open the bill, snorted in disgust, and flipped over the postcard.",ripped
184,674,Dudley,said Dudley suddenly.,said
185,675,Harry,"""Dad, Harry's got something!""",got
186,676,Harry,"Harry was on the point of unfolding his letter, which was written on the same heavy parchment as the envelope, when it was jerked sharply out of his hand by Uncle Vernon.",was
187,678,Harry,"said Harry, trying to snatch it back.",said
188,692,Harry,that Harry and Dudley were still in the room,were
189,696,Harry,"want to read it,"" said Harry furiously, ""as it's mine.""",said
190,697,Vernon,"""Get out, both of you,"" croaked Uncle Vernon, stuffing the letter back inside its envelope.",croaked
191,698,Harry,Harry didn't move.,move
192,702,Dudley,demanded Dudley.,demanded
193,704,Vernon,"roared Uncle Vernon, and he took both Harry and Dudley by the scruffs of their necks and threw them into the hall, slamming the kitchen door behind them.",roared
194,712,Harry,Harry could see Uncle Vernon's shiny black shoes pacing up and down the kitchen.,see
195,720,Vernon,"That evening when he got back from work, Uncle Vernon did something he'd never done before",did
196,725,Vernon,"it was addressed to you by mistake,"" said Uncle Vernon shortly.",said
197,727,Harry,"""It was not a mistake,"" said Harry angrily,",said
198,729,Vernon,"yelled Uncle Vernon, and a couple of spiders fell from the ceiling.",yelled
199,734,Harry,said Harry.,said
200,747,Harry,Harry sighed and stretched out on the bed.,sighed
201,751,Dudley,Dudley was in shock.,was
202,753,Harry,Harry was thinking about this time yesterday and bitterly wishing he'd opened the letter in the hall.,thinking
203,754,Vernon,Uncle Vernon and Aunt Petunia kept looking at each other darkly.,kept
204,760,Vernon,"With a strangled cry, Uncle Vernon leapt from his seat and ran down the hall, Harry right behind him.",leapt
205,762,Vernon,"After a minute of confused fighting, in which everyone got hit a lot by the Smelting stick, Uncle Vernon straightened up, gasping for breath, with Harry's letter clutched in his hand.",straightened
206,765,Harry,Harry walked round and round his new room.,walked
207,771,Harry,Harry turned it off quickly and dressed silently.,turned
208,776,Harry,Harry leapt into the air,leapt
209,780,Harry,Harry shuffled miserably off into the kitchen and by the time he got back,shuffled
210,781,Harry,Harry could see three letters addressed in green ink.,see
211,782,Vernon,Uncle Vernon was tearing the letters into pieces before his eyes.,tearing
212,783,Vernon,Uncle Vernon didnt go to work that day.,go
213,787,Vernon,"""Oh, these people's minds work in strange ways, Petunia, they're not like you and me,"" said Uncle Vernon, trying to knock in a nail with the piece of fruitcake Aunt Petunia had just brought him.",said
214,790,Vernon,Uncle Vernon stayed at home again.,stayed
215,795,Vernon,While Uncle Vernon made furious telephone calls to the post office and the dairy trying to find someone to complain to,made
216,797,Dudley,Dudley asked Harry in amazement.,asked
217,808,Vernon,"""That does it,"" said Uncle Vernon, trying to speak calmly but pulling great tufts out of his mustache at the same time.",said
218,815,Dudley,Dudley was sniffling in the back seat,sniffling
219,822,Dudley,By nightfall Dudley was howling.,howling
220,825,Vernon,Uncle Vernon stopped at last outside a gloomy-looking hotel on the outskirts of a big city.,stopped
221,826,Dudley,"Dudley and Harry shared a room with twin beds and damp, musty sheets.",shared
222,839,Vernon,"""I'll take them,"" said Uncle Vernon, standing up quickly and following her from the dining room.",said
223,841,Vernon,Uncle Vernon didn't seem to hear her.,seem
224,846,Dudley,Dudley asked Aunt Petunia dully late that afternoon.,asked
225,847,Vernon,"Uncle Vernon had parked at the coast, locked them all inside the car, and disappeared.",parked
226,857,Dursleys,"Of course, his birthdays were never exactly fun -- last year, the Dursleys had given him a coat hanger and a pair of Uncle Vernon's old socks.",given
227,859,Vernon,Uncle Vernon was back and he was smiling.,was
228,866,Vernon,Uncle Vernon was pointing at what looked like a large rock way out at sea.,pointing
229,870,Vernon,"said Uncle Vernon gleefully, clapping his hands together.",said
230,873,Vernon,"""I've already got us some rations,"" said Uncle Vernon, ""so all aboard!""",said
231,876,Vernon,"where Uncle Vernon, slipping and sliding",slipping
232,885,Harry,"Harry privately agreed, though the thought didn't cheer him up at all.",agreed
233,891,Harry,Harry couldn't sleep.,sleep
234,895,Dursleys,if the Dursleys would remember at all,remember
235,897,Harry,Harry heard something creak outside.,heard
236,908,Harry,"Harry sat bolt upright, staring at the door.",sat
237,914,Dudley,Dudley jerked awake.,jerked
238,917,Vernon,Uncle Vernon came skidding into the room.,came
239,934,Dudley,where Dudley sat frozen with fear,sat
240,936,Dudley,"Dudley squeaked and ran to hide behind his mother, who was crouching, terrified, behind Uncle Vernon.",squeaked
241,939,Harry,"Harry looked up into the fierce, wild, shadowy face and saw that the beetle eyes were crinkled in a smile.",looked
242,941,Yeh,"""Yeh look a lot like yet dad, but yeh've got yet mom's eyes.""",look
243,942,Vernon,Uncle Vernon made a funny rasping noise.,made
244,947,Vernon,"Uncle Vernon made another funny noise, like a mouse being trodden on.",made
245,951,Harry,Harry opened it with trembling fingers.,opened
246,953,Harry,Harry looked up at the giant.,looked
247,964,Harry,Harry felt the warmth wash over him as though he'd sunk into a hot bath.,felt
248,967,Dudley,"as he slid the first six fat, juicy, slightly burnt sausages from the poker, Dudley fidgeted a little.",fidgeted
249,968,Vernon,"Uncle Vernon said sharply, ""Don't touch anything he gives you, Dudley.""",said
250,976,Harry,"""Er -- no,"" said Harry.",said
251,977,Hagrid,Hagrid looked shocked.,looked
252,978,Harry,"""Sorry,"" Harry said quickly.",said
253,987,Hagrid,Hagrid thundered.,thundered
254,991,Dursleys,The Dursleys were cowering against the wall.,cowering
255,994,Harry,Harry thought this was going a bit far.,thought
256,998,Hagrid,"But Hagrid simply waved his hand and said, ""About our world, I mean.",waved
257,1003,Hagrid,Hagrid looked as if he was about to explode.,looked
258,1006,Vernon,"Uncle Vernon, who had gone very pale, whispered something that sounded like ""Mimblewimble.""",whispered
259,1007,Hagrid,Hagrid stared wildly at Harry.,stared
260,1014,Yeh,"""Yeh don' know what yeh are?""",don
261,1016,Vernon,Uncle Vernon suddenly found his voice.,found
262,1023,Dumbledore,Dumbledore left fer him?,left
263,1025,Dumbledore,"Dumbledore leave it, Dursley",leave
264,1028,Harry,said Harry eagerly.,said
265,1031,Vernon,yelled Uncle Vernon in panic.,yelled
266,1033,Hagrid,"""Ah, go boil yet heads, both of yeh,"" said Hagrid.",said
267,1039,Hagrid,"""A wizard, o' course,"" said Hagrid, sitting back down on the sofa, which groaned and sank even lower, ""an' a thumpin' good'un, I'd say, once yeh've been trained up a bit.",said
268,1042,Harry,"Harry stretched out his hand at last to take the yellowish envelope, addressed in emerald green to Mr. H. Potter, The Floor, Hut-on-the-Rock, The Sea.",stretched
269,1059,Hagrid,"""Gallopin' Gorgons, that reminds me,"" said Hagrid, clapping a hand to his forehead with enough force to knock over a cart horse, and from yet another pocket inside his overcoat he pulled an owl -- a real, live, rather ruffled-looking owl -- a long quill, and a roll of parchment.",said
270,1060,Harry,that Harry could read upside down,read
271,1067,Hagrid,"Hagrid rolled up the note, gave it to the owl, which clamped it in its beak, went to the door, and threw the owl out into the storm.",rolled
272,1069,Harry,Harry realized his mouth was open and closed it quickly.,realized
273,1073,Hagrid,Hagrid grunted.,grunted
274,1076,Harry,"said Harry, interested.",said
275,1077,Hagrid,"""A Muggle,"" said Hagrid, ""it's what we call nonmagic folk like thern.",said
276,1079,Vernon,"""We swore when we took him in we'd put a stop to that rubbish,"" said Uncle Vernon,",said
277,1082,Harry,said Harry.,said
278,1095,Harry,Harry had gone very white.,gone
279,1099,Dursleys,that the Dursleys scuttled back to their corner,scuttled
280,1103,Potter,"Harry Potter not knowin' his own story when every kid in our world knows his name!""",knowin
281,1106,Harry,Harry asked urgently.,asked
282,1110,Dumbledore,"when Dumbledore told me there might be trouble gettin' hold of yeh, how much yeh didn't know",told
283,1126,Hagrid,"Hagrid gulped, but no words came out.",gulped
284,1128,Harry,Harry suggested.,suggested
285,1131,Hagrid,Hagrid shuddered.,shuddered
286,1132,Don,"""Don' make me say it again.",make
287,1141,Dumbledore,Dumbledore's the only one,'s
288,1150,Hagrid,"Hagrid suddenly pulled out a very dirty, spotted handkerchief and blew his nose with a sound like a foghorn.",pulled
289,1163,Hagrid,Hagrid was watching him sadly.,watching
290,1166,Vernon,"""Load of old tosh,"" said Uncle Vernon.",said
291,1168,Vernon,Uncle Vernon certainly seemed to have got back his courage.,seemed
292,1171,Hagrid,"But at that moment, Hagrid leapt from the sofa and drew a battered pink umbrella from inside his coat.",leapt
293,1174,Hagrid,"""That's better,"" said Hagrid, breathing heavily and sitting back down on the sofa, which this time sagged right down to the floor.",said
294,1175,Harry,"Harry, meanwhile, still had questions to ask, hundreds of them.",had
295,1194,Hagrid,"Hagrid looked at Harry with warmth and respect blazing in his eyes, but Harry, instead of feeling pleased and proud, felt quite sure there had been a horrible mistake.",looked
296,1199,Dudley,"If he'd once defeated the greatest sorcerer in the world, how come Dudley had always been able to kick him around like a football?",been
297,1202,Hagrid,"To his surprise, Hagrid chuckled.",chuckled
298,1205,Harry,Harry looked into the fire.,looked
299,1206,Dudley,"the very last time Dudley had hit him,",hit
300,1210,Hagrid,said Hagrid.,said
301,1212,Vernon,But Uncle Vernon wasn't going to give in without a fight.,going
302,1217,Hagrid,"""If he wants ter go, a great Muggle like you won't stop him,"" growled Hagrid.",growled
303,1223,Hogwarts,"Hogwarts ever had Albus Dumbled--""",had
304,1225,Vernon,yelled Uncle Vernon.,yelled
305,1228,Dudley,"He brought the umbrella swishing down through the air to point at Dudley -- there was a flash of violet light, a sound like a firecracker, a sharp squeal, and the next second, Dudley was dancing on the spot with his hands clasped over his fat bottom, howling in pain.",dancing
306,1229,Harry,"When he turned his back on them, Harry saw a curly pig's tail poking through a hole in his trousers.",saw
307,1230,Vernon,Uncle Vernon roared.,roared
308,1232,Hagrid,Hagrid looked down at his umbrella and stroked his beard.,looked
309,1244,Dumbledore,But Dumbledore let me stay on as gamekeeper.,let
310,1247,Hagrid,"""It's gettin' late and we've got lots ter do tomorrow,"" said Hagrid loudly.",said
311,1254,Harry,Harry woke early the next morning.,woke
312,1260,Harry,", Harry thought, his heart sinking",thought
313,1266,Harry,"""All right,"" Harry mumbled, ""I'm getting up.""",mumbled
314,1268,Hagrid,"Hagrid himself was asleep on the collapsed sofa, and there was an owl rapping its claw on the window, a newspaper held in its beak.",was
315,1269,Harry,"Harry scrambled to his feet, so happy he felt as though a large balloon was swelling inside him.",scrambled
316,1274,Harry,"Harry tried to wave the owl out of the way, but it snapped its beak fiercely at him and carried on savaging the coat.",tried
317,1276,Harry,said Harry loudly.,said
318,1278,Hagrid,"""Pay him,"" Hagrid grunted into the sofa.",grunted
319,1282,Harry,"Hagrid's coat seemed to be made of nothing but pockets -- bunches of keys, slug pellets, balls of string, peppermint humbugs, teabags... finally, Harry pulled out a handful of strange-looking coins.",pulled
320,1283,Hagrid,"""Give him five Knuts,"" said Hagrid sleepily.",said
321,1288,Hagrid,"Hagrid yawned loudly, sat up, and stretched.",yawned
322,1290,Harry,Harry was turning over the wizard coins and looking at them.,turning
323,1294,Hagrid,"said Hagrid, who was pulling on his huge boots.",said
324,1296,Hagrid,"""Don't worry about that,"" said Hagrid, standing up and scratching his head.",said
325,1297,D'yeh,"""D'yeh think yer parents didn't leave yeh anything?""",think
326,1307,Harry,Harry dropped the bit of sausage he was holding.,dropped
327,1315,Hagrid,Hagrid drew himself up proudly.,drew
328,1320,Harry,Harry followed Hagrid out onto the rock.,followed
329,1322,Vernon,Uncle Vernon had hired,hired
330,1324,Harry,"Harry asked, looking around for another boat.",asked
331,1325,Hagrid,"""Flew,"" said Hagrid.",said
332,1329,Harry,"They settled down in the boat, Harry still staring at Hagrid, trying to imagine him flying.",staring
333,1330,Hagrid,"""Seems a shame ter row, though,"" said Hagrid, giving Harry another of his sideways looks.",said
334,1332,Harry,","" said Harry,",said
335,1333,Hagrid,"Hagrid pulled out the pink umbrella again, tapped it twice on the side of the boat, and they sped off toward land.",pulled
336,1335,Harry,Harry asked.,asked
337,1336,Hagrid,"""Spells -- enchantments,"" said Hagrid, unfolding his newspaper as he spoke.",said
338,1342,Harry,"Harry had learned from Uncle Vernon that people liked to be left alone while they did this, but it was very difficult, he'd never had so many questions in his life.",learned
339,1343,Hagrid,"""Ministry o' Magic messin' things up as usual,"" Hagrid muttered, turning the page.",muttered
340,1345,Harry,"Harry asked, before he could stop himself.",asked
341,1346,Hagrid,"""'Course,"" said Hagrid.",said
342,1347,Fudge,"""They wanted Dumbledore fer Minister, of course, but he'd never leave Hogwarts, so old Cornelius Fudge got the job.",got
343,1359,Harry,Harry couldn't blame them.,blame
344,1360,Hagrid,Not only was Hagrid twice as tall as anyone else,was
345,1362,Harry,"""Hagrid,"" said Harry, panting a bit as he ran to keep up",said
346,1363,Hagrid,"""Well, so they say,"" said Hagrid.",said
347,1369,Hagrid,"Hagrid, who didn't understand ""Muggle money,"" as he called it, gave the bills to Harry so he could buy their tickets.",gave
348,1371,Hagrid,Hagrid took up two seats and sat knitting what looked like a canary-yellow circus tent.,took
349,1374,Harry,Harry took the parchment envelope out of his pocket.,took
350,1375,Hagrid,"""Good,"" said Hagrid.",said
351,1377,Harry,"Harry unfolded a second piece of paper he hadn't noticed the night before, and read:",unfolded
352,1408,Harry,Harry wondered aloud.,wondered
353,1409,Hagrid,"""If yeh know where to go,"" said Hagrid.",said
354,1410,Harry,Harry had never been to London before.,been
355,1411,Hagrid,Although Hagrid seemed to know where he was going,seemed
356,1419,Dursleys,that the Dursleys had cooked up,cooked
357,1421,Hagrid,"""This is it,"" said Hagrid, coming to a halt, ""the Leaky Cauldron.",said
358,1427,Harry,"In fact, Harry had the most peculiar feeling that only he and Hagrid could see it.",had
359,1428,Hagrid,"Before he could mention this, Hagrid had steered him inside.",steered
360,1435,Hagrid,"""Can't, Tom, I'm on Hogwarts business,"" said Hagrid, clapping his great hand on Harry's shoulder and making Harry's knees buckle.",said
361,1440,Potter,"""Welcome back, Mr. Potter, welcome back.""",welcome
362,1441,Harry,Harry didn't know what to say.,know
